ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE
1;Portcros-Parcnational.fr;http://portcros-parcnational.fr http://www.portcros-parcnational.fr https://portcros-parcnational.fr https://www.portcros-parcnational.fr;0;791;127;IN;2021-10-21T08:14:15.536Z
2;Browsehappy.com;http://browsehappy.com http://www.browsehappy.com https://browsehappy.com https://www.browsehappy.com;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
3;fr-fr.Facebook.com /pages;http://fr-fr.facebook.com/pages http://www.fr-fr.facebook.com/pages https://fr-fr.facebook.com/pages https://www.fr-fr.facebook.com/pages;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
4;Twitter.com /PNPC83;http://twitter.com/PNPC83 http://www.twitter.com/PNPC83 https://twitter.com/PNPC83 https://www.twitter.com/PNPC83;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
5;Alizee-Soft.com;http://alizee-soft.com http://www.alizee-soft.com https://alizee-soft.com https://www.alizee-soft.com;1;2;0;DISCOVERED;2021-10-21T08:14:18.953Z
6;Pyrenees-Parcnational.fr;http://pyrenees-parcnational.fr http://www.pyrenees-parcnational.fr https://pyrenees-parcnational.fr https://www.pyrenees-parcnational.fr;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
7;Guadeloupe-Parcnational.fr;http://guadeloupe-parcnational.fr http://www.guadeloupe-parcnational.fr https://guadeloupe-parcnational.fr https://www.guadeloupe-parcnational.fr;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
8;Calanques-Parcnational.fr;http://calanques-parcnational.fr http://www.calanques-parcnational.fr https://calanques-parcnational.fr https://www.calanques-parcnational.fr;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
9;Ecrins-Parcnational.fr;http://ecrins-parcnational.fr http://www.ecrins-parcnational.fr https://ecrins-parcnational.fr https://www.ecrins-parcnational.fr;1;2;0;DISCOVERED;2021-10-21T08:14:18.953Z
10;Colleo.fr;http://colleo.fr http://www.colleo.fr https://colleo.fr https://www.colleo.fr;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
11;Port-Cros-Parcnational.fr;http://port-cros-parcnational.fr http://www.port-cros-parcnational.fr https://port-cros-parcnational.fr https://www.port-cros-parcnational.fr;1;2;0;DISCOVERED;2021-10-21T08:14:18.953Z
12;Ajaris.com;http://ajaris.com http://www.ajaris.com https://ajaris.com https://www.ajaris.com;1;2;0;DISCOVERED;2021-10-21T08:14:18.953Z
13;Cevennes-Parcnational.fr;http://cevennes-parcnational.fr http://www.cevennes-parcnational.fr https://cevennes-parcnational.fr https://www.cevennes-parcnational.fr;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
14;Espritparcnationalportcros.com;http://espritparcnationalportcros.com http://www.espritparcnationalportcros.com https://espritparcnationalportcros.com https://www.espritparcnationalportcros.com;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
